動詞,一般,*,*,下一段-ア行,連用形-一般+送り仮名省略
動詞,一般,*,*,下一段-ア行,連用形-一般
動詞,一般,*,*,下一段-カ行,意志推量形
動詞,一般,*,*,下一段-カ行,仮定形-一般
動詞,一般,*,*,下一段-カ行,仮定形-融合
動詞,一般,*,*,下一段-カ行,終止形-一般
動詞,一般,*,*,下一段-カ行,終止形-撥音便
動詞,一般,*,*,下一段-カ行,未然形-一般
動詞,一般,*,*,下一段-カ行,命令形
動詞,一般,*,*,下一段-カ行,連体形-一般
動詞,一般,*,*,下一段-カ行,連体形-撥音便
動詞,一般,*,*,下一段-カ行,連用形-一般
動詞,一般,*,*,下一段-ガ行,意志推量形
動詞,一般,*,*,下一段-ガ行,仮定形-一般
動詞,一般,*,*,下一段-ガ行,仮定形-融合
動詞,一般,*,*,下一段-ガ行,終止形-一般
動詞,一般,*,*,下一段-ガ行,終止形-撥音便
動詞,一般,*,*,下一段-ガ行,未然形-一般
動詞,一般,*,*,下一段-ガ行,命令形
動詞,一般,*,*,下一段-ガ行,連体形-一般
動詞,一般,*,*,下一段-ガ行,連体形-撥音便
動詞,一般,*,*,下一段-ガ行,連用形-一般
動詞,一般,*,*,下一段-サ行,意志推量形
動詞,一般,*,*,下一段-サ行,仮定形-一般
動詞,一般,*,*,下一段-サ行,仮定形-融合
動詞,一般,*,*,下一段-サ行,終止形-一般
動詞,一般,*,*,下一段-サ行,終止形-撥音便
動詞,一般,*,*,下一段-サ行,未然形-一般
動詞,一般,*,*,下一段-サ行,命令形
動詞,一般,*,*,下一段-サ行,連体形-一般
動詞,一般,*,*,下一段-サ行,連体形-省略
動詞,一般,*,*,下一段-サ行,連体形-撥音便
動詞,一般,*,*,下一段-サ行,連用形-一般
動詞,一般,*,*,下一段-ザ行,意志推量形
動詞,一般,*,*,下一段-ザ行,仮定形-一般
動詞,一般,*,*,下一段-ザ行,仮定形-融合
動詞,一般,*,*,下一段-ザ行,終止形-一般
動詞,一般,*,*,下一段-ザ行,終止形-撥音便
動詞,一般,*,*,下一段-ザ行,未然形-一般
動詞,一般,*,*,下一段-ザ行,命令形
動詞,一般,*,*,下一段-ザ行,連体形-一般
動詞,一般,*,*,下一段-ザ行,連体形-撥音便
動詞,一般,*,*,下一段-ザ行,連用形-一般
動詞,一般,*,*,下一段-タ行,意志推量形
動詞,一般,*,*,下一段-タ行,仮定形-一般
動詞,一般,*,*,下一段-タ行,仮定形-融合
動詞,一般,*,*,下一段-タ行,終止形-一般
動詞,一般,*,*,下一段-タ行,終止形-撥音便
動詞,一般,*,*,下一段-タ行,未然形-一般
動詞,一般,*,*,下一段-タ行,命令形
動詞,一般,*,*,下一段-タ行,連体形-一般
動詞,一般,*,*,下一段-タ行,連体形-撥音便
動詞,一般,*,*,下一段-タ行,連用形-一般
動詞,一般,*,*,下一段-ダ行,意志推量形
